;;;;;;LOTS;validation;;;;;;Choix pour calcul dans A101010201030;;;Majoration des couts par discipline;;;;;;;;;;;;;;;; Choix SB ou F1 ;!choisir!;; Lot A ;;; Lot B ;;; Lot C ;;; Lot D ;;; Lot E ;;; Lot F ;;; Lot G ;;; Lot H ;;; Lot K ;;; Lot L ;;;;;;;
;$;ü;;;;_;a;;;;;;OUI;;;DISCIPLINE;MAT;M-O;EQUIP;;;;;;;;;;;;;;SB:;SB:;19797,00;;SB:;0,00;;SB:;0,00;;SB:;0,00;;SB:;0,00;;SB:;0,00;;SB:;0,00;;SB:;0,00;;SB:;0,00;;SB:;0,00;;;;;;;
;.;;VRAI;;;a;s;;;;;;NON;;;a;+ 0%;+ 0%;+ 0%;;;;;;;;;;;;;;F1:;F1:;0,00;;F1:;17977,00;;F1:;17977,00;;F1:;17977,00;;F1:;17977,00;;F1:;1,00;;F1:;1,00;;F1:;1,00;;F1:;17977,00;;F1:;17977,00;;;;;;;
;;û;;;;b;c;;;;;;;;;s;+ 0%;+ 0%;+ 0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;c;m;;;;;;;;;m;+ 0%;+ 0%;+ 0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;d;e;;;;;;;;;e;+ 0%;+ 0%;+ 0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;e;;;;;;;;;;x;+ 0%;+ 0%;+ 0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;f;;;;;;;;;;1;2;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;g;;;;;;;;;;Numérotation des colonnes pour formules;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;k;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;MAT.;;;RATIO;;M.-O.;;;ÉQUIP.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;$ mat un.;majoration;$ mat. total;# un / hre.;hre.requis;$ horaire;majoration;$mo total;$ equip. un.;majoration;$ equip. total;P.U.;P.U. Indexé;$ Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;a;;;;;;;;;;100,00;;;13,90;+ 0%;= 1 390 $;1,26;= 79 hre.@;58,18;+ 0%;= 4 608 $;0,00;+ 0%;= 0 $;59,98;59,98; 5 998    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;0,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;46,07856229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;ATTENTION: Numérotation des colonnes. Ne pas toucher. Important pour les formules des onglets sommaires.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ERREURS;;CODIFICATION;;;;;;;;Projet:;Ajout d’espace au secondaire dans le secteur Charlesbourg-Nord/Chauveau;;;;Étape:;;PRÉLIMINAIRE;;;;;;;;;;;;;Lot:;Projet GLOBAL; Construction ;Lot:;Lot A;Neuf;Lot:;Lot B;Neuf;Lot:;Lot C;Neuf;Lot:;Lot D;Neuf;Lot:;Lot E;Neuf;Lot:;Lot F;Neuf;Lot:;Lot G;Neuf;Lot:;Lot H;Neuf;Lot:;Lot K;Neuf;Lot:;Lot L;Neuf;VALIDATION;;;;;
;;;"""automatique""";;;total;;;;;No. projet:;P524372;;;;Date:;01/03/2021;;;;;;;;;;;;;;ID:;Lots A@L;;ID:;A;;ID:;B;;ID:;C;;ID:;D;;ID:;E;;ID:;F;;ID:;G;;ID:;H;;ID:;K;;ID:;L;;#REF!;;;;;
;;;;;;#REF!;;;;;Localisation:;Québec (Charlesbourg);;;;Indice ( projeté ) :;112,1   ;;;;;;;;;;;;;;Titre:;( Projet GLOBAL )  Ajout d’espace au secondaire dans le secteur Charlesbourg-Nord/Chauveau;;Titre:;"( Lot A )  ""BASE BUILDING""";;Titre:;"( Lot B )  ""AMÉNAGEMENT""";;Titre:;( Lot C )  Travaux préparatoires – déplacement des conduits de la Ville;;Titre:;( Lot D )  Démolition de bâtiments de Zoo;;Titre:;( Lot E )  Emplacement;;Titre:;( Lot F )  F;;Titre:;( Lot G )  G;;Titre:;( Lot H )  H;;Titre:;( Lot K )  Conditions de marché;;Titre:;( Lot L )  Mise en œuvre;;Total des LOTS;Total GLOBAL;;;;
;Lot / disc.;Séquence lots;;;;;;;;;Type:;Construction;;;;;;;;;;;;;;;;;;;SB & SNE:;19 797 (SB); 156 042    ;SB:;19 797;;SB:;0;;SB:;0;;SB:;0;;SB:;0;;SB:;0;;SB:;0;;SB:;0;;SB:;0;;SB:;0;;ò;ò;;;;
;nb.erreur;nb.erreur;;;;;;;;;;;;Préparé par:;0;0;;;;MAT.;;;RATIO;;M.-O.;;;ÉQUIP.;;;m2 au sol:;7 863 (m² au sol);;m2 au sol:;7 863 (m² au sol);;m2 au sol:;19 797 (m² au sol);;m2 au sol:;7 863 (m² au sol);;m2 au sol:;7 863 (m² au sol);;m2 au sol:;7 863 (m² au sol);;m2 au sol:;1 (m² au sol);;m2 au sol:;1 (m² au sol);;m2 au sol:;1 (m² au sol);;m2 au sol:;7 863 (m² au sol);;m2 au sol:;7 863 (m² au sol);;nb. erreurs;;;;;
;1;;"Code
Disc";Travaux;Lot;Lot;Disc.;Masterformat;;UNIFORMAT;$;;QTÉ.;;;;QTÉ. TOTALE;U.M.;ü;$.unit.mat.;%(+ -);$.total.mat.;Qté./ hre.;Hre.total.requis;$ horaire;%(+ -);$.total.m-o;$ equip;%(+ -);$.total.equip.;P.U.;; $ Total ;A          Qté.;$ unitaire;$ Total;B          Qté.;P.U.;Total;C          Qté.;P.U.;Total;D          Qté.;P.U.;Total;E          Qté.;P.U.;Total;F          Qté.;P.U.;Total;G          Qté.;P.U.;Total;H          Qté.;P.U.;Total;K          Qté.;P.U.;Total;L         Qté.;P.U.;Total;0;;;ok;Disc.;
;;;;;;Lot;Disc.;;;;;Début des lots  -  Inscrire les éléments à estimer ainsi que le lot et discipline appropriée;;;;;;;;;;;;;;;;;;;;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -    ; -    ;;vide;Disc.;
;;;-;_;.;_;;;;;;;;;;;;;;;;;;;;;;;;;; -     ; -     ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -    ; -    ;;vide;0;
