GlobalId,Name,IfcClass,UniformatDescription,Material
1dxU_ZHt$AAeQm01ch9XDn,Equipement de génie climatique : Persienne_Cadre en L : 2900x2500,IfcBuildingElementProxy,Persiennes et grillages extérieurs,ALUMINIUM ANODISÉ NATUREL
0rPD7YI$AroXDbBd1an9EO,Equipement de génie climatique : Persienne_Cadre en L : 4500x1000,IfcBuildingElementProxy,Persiennes et grillages extérieurs,ALUMINIUM ANODISÉ NATUREL
3JNXpuDzQrnhGmgbfTnSb$,Plafonds : Plafond composé : S01_SOFFITE_ENV_13+100+100,IfcCovering,Plafonds de gypse,
26HQY9v3HCJutQihGMesvK,Plafonds : Plafond composé : R03.1_SOFFITE,IfcCovering,Soffites,
1mvMSMk2fkO_3IgSqrEC9J,Plafonds : Plafond composé : R03.1_SOFFITE,IfcCovering,Soffites,
1mJx9PwmacMHbAgLnucOtN,Plafonds : Plafond composé : S0X_P_ALU,IfcCovering,Soffites,
0PLQo6_sbTGG9iRP1T9KMZ,Plafonds : Plafond composé : S0X_P_ALU,IfcCovering,Soffites,
2SgYS14_XCe21qdkddgRij,Plafonds : Plafond composé : S0X_P_ALU,IfcCovering,Soffites,
2vFIhhY__$T3zbQlhfiSd7,Plafonds : Plafond composé : S0X_P_ALU,IfcCovering,Soffites,
0v5AgLMgXD_KlReZjdJixl,Plafonds : Plafond composé : SOFFITE_INCLINÉ_ENV_13+76+76,IfcCovering,Plafonds de gypse,
3fkv39u3MHbhxaLyH_zyYM,Plafonds : Plafond composé : R03.1_SOFFITE,IfcCovering,Soffites,
2Pkdqcwc5nd7BN6VTATrfZ,Plafonds : Plafond composé : SOFFITE_INCLINÉ_ENV_13+76+76,IfcCovering,Plafonds de gypse,
2bkbs2KCwzFabojoGMOE59,Plafonds : Plafond composé : R03.1_SOFFITE,IfcCovering,Soffites,
2lmdNpxilIMpdIkeNuIRe1,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
2n8iD7VTgQE3t0SzsUv9Gt,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
1jRoeVonH2PzG$wt3Lq$pW,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
3wbj21bAgyUPvQtSzxWTeB,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
2rVbJnepgkhLdy2sCLspO8,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
1OblGzUs26KC1rtqud3GaZ,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
26PqaxYdzkIK4W$E8WJWvR,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
0fBeDWgR0Aaq4_JhS91oES,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
2wB5aIp4MuDIl$hkX_n5aL,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
2cevnv8T6Cpt_ZiV2x04Q5,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
2ioamn0WE_G1XqLo_SJYCy,Murs : Mur-rideau : MR_SYS_ENC,IfcCurtainWall,Murs-rideaux,
2p03bb6oxXox9g9oZ5sqnm,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
1GaURkoI$Bw906XvnrylDl,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
3W0tr9EwSSDYESSbb40mXX,Murs : Mur-rideau : MR_V3_ENV,IfcCurtainWall,Murs-rideaux,
3SJjs43LDdEVKWk2EWfuhE,Portes : PS02_Pleine_Encastre : Ext_0915x2205,IfcDoor,Portes (de service),
3_JpsAFYjaoTZka24s$y5I,Portes : PSMR01_Aluminium : INT,IfcDoor,Murs-rideaux,
0$aJQ46iCLTgF24eRTM349,Portes : PSMR01_Aluminium : INT,IfcDoor,Murs-rideaux,
3EfsDfKeHdqJ5pPVXmVOkm,Portes : PSMR01_Aluminium : INT,IfcDoor,Murs-rideaux,
1NVBKT0C$iTuh81I6vpvQe,Portes : PSMR01_Aluminium : INT,IfcDoor,Murs-rideaux,
1V$217NoVzPM$8WhWgck8f,Portes : PSMR01_Aluminium : INT,IfcDoor,Murs-rideaux,
1hCMyTK8zGeYeP4SC25r9M,Portes : PSMR01_Aluminium : INT,IfcDoor,Murs-rideaux,
0RN6gC976fNOvz$54bkXkG,Portes : PSMR01_Aluminium : INT,IfcDoor,Murs-rideaux,
2EI3cvzSx83PLjsTeZy3_U,Portes : PSMR01_Aluminium : EXT,IfcDoor,Murs-rideaux,
1rFchx_KBVYERnZ0cV6yoG,Portes : PSMR01_Aluminium : EXT,IfcDoor,Murs-rideaux,
1TiKE5A5kNsExy1fTQLxGd,Portes : PT01_Pleine_Cadre_Mitoyen : Ext_3 x 1015_2205,IfcDoor,Portes (de service),<Unnamed>
12YyCrJ6uPSJ48q3sFsAAx,Portes : PT01_Pleine_Cadre_Mitoyen : Ext_3 x 1015_2205,IfcDoor,Portes (de service),<Unnamed>
1oEVJ9zubsUeSCP59IL0AP,Portes : PS02_Pleine_Encastre : Ext_0915x2205,IfcDoor,Portes (de service),
38nKPBNmwJU28YaQcUlBpT,"Portes : PS03_Pleine_Regard_C3.1 : Int_0915mm x 2190mm, Regard 900mm",IfcDoor,Portes intérieures (ensemble),
2NTWs1BnmeAcDIVSTtX6mI,Portes : PS01_Pleine : Int_0915x2190,IfcDoor,Portes intérieures (ensemble),
0zf1nXZOAFh4QekSeTZ$yv,Portes : PSMR01_Aluminium : EXT,IfcDoor,Murs-rideaux,
25S6ahjI4HwgHo2yJV0fm5,Portes : PSMR01_Aluminium : EXT,IfcDoor,Murs-rideaux,
0_iNuSzWhGxlHLMzdj_6Lp,Portes : PSMR01_Aluminium : EXT,IfcDoor,Murs-rideaux,
3ajnIPHyW52$FW6iqOIsMB,Portes : PSMR01_Aluminium : EXT,IfcDoor,Murs-rideaux,
3TfNedtmiN07gKz2yCPPni,Portes : PSMR01_Aluminium : EXT,IfcDoor,Murs-rideaux,
31VzLsFXCn61T$NADXDVHo,Portes : PSMR01_Aluminium : EXT,IfcDoor,Murs-rideaux,
1ytNxVR8XOVrMKhaNOTy52,Portes : PSMR01_Aluminium : EXT,IfcDoor,Murs-rideaux,
3zLRZMDH21KopSZpkieAYn,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
35MXCWctG4_a11DvQkkBPj,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
0aVsGOZjZyFBosic_SKh2r,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
0YNDosQH2rj4WLhczgBZqx,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1a1ltW9Iq0j9RisSRcB3Wm,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2zoPUJhH5hHA9OLY$Vr672,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
0YkZ22TJgdtkPwWE1yGyWt,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
0EcilApU8j2cm0wBZPa457,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_50_V3_CAP_22,IfcMember,Murs-rideaux,
