GUID,Type_IFC,Name,Description,ObjectType,Tag,Fabricant,Modele,Produit,URL,Copyright,Poids,Note_ID,Sales_Rep,Toutes_Proprietes
2k8KE8OkX2tRtqF03satlj,IfcBuildingElementProxy,Equipement de génie climatique : Persienne_Cadre en L : 4800x1960,,Persienne_Cadre en L:4800x1960,1423689,,Persienne_Cadre en L: 4800x1960,,,,,2446746,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""Persienne_Cadre en L:4800x1960"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""Persienne_Cadre en L:4800x1960"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""Persienne_Cadre en L"",
  ""Autre.Famille et type"": ""Persienne_Cadre en L: 4800x1960"",
  ""Autre.ID du type"": ""2446746"",
  ""Autre.ID hôte"": ""4126469"",
  ""Autre.Type"": ""4800x1960"",
  ""Contraintes.Niveau"": ""NIVEAU 3"",
  ""Contraintes.Élévation par rapport au niveau"": ""455.0"",
  ""Cotes.Distance face mur ext"": ""0.0"",
  ""Cotes.Surface"": ""35.5358277014402"",
  ""Cotes.Volume"": ""0.109851114277077"",
  ""Données d'identification.Sous-projet"": ""A_ENV_GLOBAL"",
  ""Données d'identification.Identifiant"": ""1"",
  ""Données d'identification.Modifié par"": ""adam.yousfi.1"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
0395cK1JjDmPTNTZ1I3XiQ,IfcBuildingElementProxy,Equipement de génie climatique : Persienne_Cadre en L : 3100x1690,,Persienne_Cadre en L:3100x1690,2447063,,Persienne_Cadre en L: 3100x1690,,,,,2447093,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""Persienne_Cadre en L:3100x1690"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""Persienne_Cadre en L:3100x1690"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""Persienne_Cadre en L"",
  ""Autre.Famille et type"": ""Persienne_Cadre en L: 3100x1690"",
  ""Autre.ID du type"": ""2447093"",
  ""Autre.ID hôte"": ""1193496"",
  ""Autre.Type"": ""3100x1690"",
  ""Contraintes.Niveau"": ""NIVEAU 3"",
  ""Contraintes.Élévation par rapport au niveau"": ""455.000000000007"",
  ""Cotes.Distance face mur ext"": ""0.0"",
  ""Cotes.Surface"": ""23.3342516310733"",
  ""Cotes.Volume"": ""0.0718351649645723"",
  ""Données d'identification.Sous-projet"": ""A_ENV_GLOBAL"",
  ""Données d'identification.Identifiant"": ""4"",
  ""Données d'identification.Modifié par"": ""adam.yousfi.1"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
1_jLIjIv5c8lJlHybdjAXa,IfcBuildingElementProxy,Equipement de génie climatique : Persienne_Cadre en L : 2900x2500,,Persienne_Cadre en L:2900x2500,2680870,,Persienne_Cadre en L: 2900x2500,,,,,2681000,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""Persienne_Cadre en L:2900x2500"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""Persienne_Cadre en L:2900x2500"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""Persienne_Cadre en L"",
  ""Autre.Famille et type"": ""Persienne_Cadre en L: 2900x2500"",
  ""Autre.ID du type"": ""2681000"",
  ""Autre.ID hôte"": ""4193780"",
  ""Autre.Type"": ""2900x2500"",
  ""Contraintes.Niveau"": ""NIVEAU 1"",
  ""Contraintes.Élévation par rapport au niveau"": ""455.0"",
  ""Cotes.Distance face mur ext"": ""60.0"",
  ""Cotes.Surface"": ""27.6923382588981"",
  ""Cotes.Volume"": ""0.0859567290458246"",
  ""Données d'identification.Sous-projet"": ""A_ENV_GLOBAL"",
  ""Données d'identification.Identifiant"": ""1"",
  ""Données d'identification.Modifié par"": ""adam.yousfi.1"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
3LYUAHOUfCOzeMNk3JEJ6G,IfcBuildingElementProxy,Equipement de génie climatique : Persienne_Cadre en L : 4500x1000,,Persienne_Cadre en L:4500x1000,2681783,,Persienne_Cadre en L: 4500x1000,,,,,2681849,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""Persienne_Cadre en L:4500x1000"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""Persienne_Cadre en L:4500x1000"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""Persienne_Cadre en L"",
  ""Autre.Famille et type"": ""Persienne_Cadre en L: 4500x1000"",
  ""Autre.ID du type"": ""2681849"",
  ""Autre.ID hôte"": ""2681470"",
  ""Autre.Type"": ""4500x1000"",
  ""Contraintes.Élévation par rapport au niveau"": ""3940.0"",
  ""Contraintes.Niveau"": ""NIVEAU 0"",
  ""Cotes.Distance face mur ext"": ""30.0"",
  ""Cotes.Surface"": ""18.0972756349522"",
  ""Cotes.Volume"": ""0.0547517579208172"",
  ""Données d'identification.Sous-projet"": ""A_ENV_GLOBAL"",
  ""Données d'identification.Identifiant"": ""2"",
  ""Données d'identification.Modifié par"": ""adam.yousfi.1"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
17c1k5P7AEoWX9NgLj37Tr,IfcBuildingElementProxy,Equipement de génie climatique : CG_Echangeur plaques TACO-PF040 : PF040B,,CG_Echangeur plaques TACO-PF040:PF040B,1678834,,CG_Echangeur plaques TACO-PF040: PF040B,,,,,1675303,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""CG_Echangeur plaques TACO-PF040:PF040B"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""CG_Echangeur plaques TACO-PF040:PF040B"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""CG_Echangeur plaques TACO-PF040"",
  ""Autre.Famille et type"": ""CG_Echangeur plaques TACO-PF040: PF040B"",
  ""Autre.ID du type"": ""1675303"",
  ""Autre.Type"": ""PF040B"",
  ""Contraintes.Connection Radius"": ""38.1"",
  ""Contraintes.Décalage par rapport à l'hôte"": ""150.000000000126"",
  ""Contraintes.Élévation par rapport au niveau"": ""150.000000000126"",
  ""Contraintes.Hôte"": ""Niveau : NIVEAU 1"",
  ""Contraintes.Niveau"": ""NIVEAU 1"",
  ""Cotes.Surface"": ""3.22858447321718"",
  ""Cotes.Volume"": ""0.19427956702607"",
  ""Graphismes.3\"" Port"": ""True"",
  ""Graphismes.4\"" Port"": ""False"",
  ""Données d'identification.Identifiant"": ""ECH-3"",
  ""Données d'identification.Sous-projet"": ""M_CR_NIV_01"",
  ""Génie climatique.Classification du système"": ""Alimentation hydraulique,Retour hydraulique,Alimentation hydraulique,Retour hydraulique"",
  ""Génie climatique.Cold Side Entering Fluid Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Cold Side Leaving Fluid Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Connection Size"": ""0.000820209973753281"",
  ""Génie climatique.F1/F4 Flow"": ""0.0"",
  ""Génie climatique.F2/F3 Flow"": ""0.0"",
  ""Génie climatique.Hot Side Entering Fluid Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Hot Side Leaving Fluid Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Maximum Working Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Nom du système"": ""ECA 4,ETR 1,ETA 8,ECR 2"",
  ""Génie climatique.Number of Plates"": ""0"",
  ""Génie climatique - Débit.Trajectoire critique"": ""False"",
  ""Génie climatique - Charges.F1/F4 Pressure Drop"": ""0.0"",
  ""Génie climatique - Charges.F2/F3 Pressure Drop"": ""0.0"",
  ""Génie climatique - Charges.Heat Transfer Rate"": ""0.0"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
1ygekhFXaaKRcPQh41U8xP,IfcBuildingElementProxy,Equipement de génie climatique : CG_Echangeur : MEQ_GENERIC_BOX,,CG_Echangeur:MEQ_GENERIC_BOX,1678836,,CG_Echangeur: MEQ_GENERIC_BOX,,,,,1678327,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""CG_Echangeur:MEQ_GENERIC_BOX"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""CG_Echangeur:MEQ_GENERIC_BOX"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""CG_Echangeur"",
  ""Autre.Famille et type"": ""CG_Echangeur: MEQ_GENERIC_BOX"",
  ""Autre.ID du type"": ""1678327"",
  ""Autre.Type"": ""MEQ_GENERIC_BOX"",
  ""Autre.VISIBILITÉ DEGAGEMENT"": ""False"",
  ""Contraintes.Niveau"": ""NIVEAU 1"",
  ""Contraintes.Décalage par rapport à l'hôte"": ""150.0"",
  ""Contraintes.Élévation par rapport au niveau"": ""150.0"",
  ""Contraintes.Niveau de nomenclature"": ""NIVEAU 1"",
  ""Contraintes.Plan de construction"": ""<non associé>"",
  ""Cotes.DÉGAGEMENT ARRIÈRE"": ""0.0"",
  ""Cotes.DÉGAGEMENT AVANT"": ""0.0"",
  ""Cotes.DÉGAGEMENT DROIT"": ""0.0"",
  ""Cotes.DÉGAGEMENT GAUCHE"": ""640.1"",
  ""Cotes.HAUTEUR"": ""2654.0"",
  ""Cotes.LARGEUR"": ""640.1"",
  ""Cotes.LONGUEUR"": ""2643.9"",
  ""Cotes.Surface"": ""20.81619278"",
  ""Cotes.Volume"": ""4.49152447505999"",
  ""Données d'identification.Sous-projet"": ""M_CR_NIV_01"",
  ""Données d'identification.Identifiant"": ""E-1"",
  ""Génie climatique.DEBIT_GPM"": ""0.0"",
  ""Génie climatique.DEBIT_LS"": ""0.0"",
  ""Génie climatique.PUISSANCE_BTUH"": ""0.0"",
  ""Génie climatique.PUISSANCE_kW"": ""0.0"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
1ZHxiALadUB$FQeFlPJzCk,IfcBuildingElementProxy,Equipement de génie climatique : CG_Echangeur plaques TACO-PF040 : PF040B,,CG_Echangeur plaques TACO-PF040:PF040B,1703461,,CG_Echangeur plaques TACO-PF040: PF040B,,,,,1675303,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""CG_Echangeur plaques TACO-PF040:PF040B"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""CG_Echangeur plaques TACO-PF040:PF040B"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""CG_Echangeur plaques TACO-PF040"",
  ""Autre.Famille et type"": ""CG_Echangeur plaques TACO-PF040: PF040B"",
  ""Autre.ID du type"": ""1675303"",
  ""Autre.Type"": ""PF040B"",
  ""Contraintes.Connection Radius"": ""38.1"",
  ""Contraintes.Décalage par rapport à l'hôte"": ""125.400000000002"",
  ""Contraintes.Élévation par rapport au niveau"": ""125.400000000002"",
  ""Contraintes.Hôte"": ""Niveau : NIVEAU 3"",
  ""Contraintes.Niveau"": ""NIVEAU 3"",
  ""Cotes.Surface"": ""3.22858447321718"",
  ""Cotes.Volume"": ""0.19427956702607"",
  ""Graphismes.3\"" Port"": ""True"",
  ""Graphismes.4\"" Port"": ""False"",
  ""Données d'identification.Identifiant"": ""ECH-45"",
  ""Données d'identification.Sous-projet"": ""M_CR_NIV_03"",
  ""Génie climatique.Connection Size"": ""0.000820209973753281"",
  ""Génie climatique.F1/F4 Flow"": ""0.0"",
  ""Génie climatique.F2/F3 Flow"": ""0.0"",
  ""Génie climatique.Number of Plates"": ""0"",
  ""Génie climatique.Classification du système"": ""Alimentation hydraulique,Retour hydraulique,Alimentation hydraulique,Retour hydraulique"",
  ""Génie climatique.Cold Side Entering Fluid Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Cold Side Leaving Fluid Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Hot Side Entering Fluid Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Hot Side Leaving Fluid Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Maximum Working Temperature"": ""-17.7777777777777"",
  ""Génie climatique.Nom du système"": ""ECA 6,GCR 1,GCA 1,ETR 2"",
  ""Génie climatique - Débit.Trajectoire critique"": ""False"",
  ""Génie climatique - Charges.F1/F4 Pressure Drop"": ""0.0"",
  ""Génie climatique - Charges.F2/F3 Pressure Drop"": ""0.0"",
  ""Génie climatique - Charges.Heat Transfer Rate"": ""0.0"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
2_zKgNvi9YiP_tjrmDmAOQ,IfcBuildingElementProxy,Equipement de génie climatique : CG_Echangeur : MEQ_GENERIC_BOX,,CG_Echangeur:MEQ_GENERIC_BOX,1703463,,CG_Echangeur: MEQ_GENERIC_BOX,,,,,1678327,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""CG_Echangeur:MEQ_GENERIC_BOX"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""CG_Echangeur:MEQ_GENERIC_BOX"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""CG_Echangeur"",
  ""Autre.Famille et type"": ""CG_Echangeur: MEQ_GENERIC_BOX"",
  ""Autre.ID du type"": ""1678327"",
  ""Autre.Type"": ""MEQ_GENERIC_BOX"",
  ""Autre.VISIBILITÉ DEGAGEMENT"": ""True"",
  ""Contraintes.Niveau"": ""NIVEAU 3"",
  ""Contraintes.Décalage par rapport à l'hôte"": ""125.400000000002"",
  ""Contraintes.Élévation par rapport au niveau"": ""125.400000000002"",
  ""Contraintes.Niveau de nomenclature"": ""NIVEAU 3"",
  ""Contraintes.Plan de construction"": ""Niveau : NIVEAU 3"",
  ""Cotes.DÉGAGEMENT ARRIÈRE"": ""0.0"",
  ""Cotes.DÉGAGEMENT AVANT"": ""0.0"",
  ""Cotes.DÉGAGEMENT DROIT"": ""0.0"",
  ""Cotes.DÉGAGEMENT GAUCHE"": ""640.0"",
  ""Cotes.HAUTEUR"": ""2654.0"",
  ""Cotes.LARGEUR"": ""640.1"",
  ""Cotes.LONGUEUR"": ""2144.0"",
  ""Cotes.Surface"": ""17.5222718"",
  ""Cotes.Volume"": ""7.2839942976"",
  ""Données d'identification.Sous-projet"": ""M_CR_NIV_03"",
  ""Données d'identification.Identifiant"": ""E-2"",
  ""Génie climatique.DEBIT_GPM"": ""0.0"",
  ""Génie climatique.DEBIT_LS"": ""0.0"",
  ""Génie climatique.PUISSANCE_BTUH"": ""0.0"",
  ""Génie climatique.PUISSANCE_kW"": ""0.0"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
06zxNoiSyJWYMR6wRSj9mz,IfcBuildingElementProxy,Equipement de génie climatique : Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211 : RTWD-160 54-44- r1,,Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211:RTWD-160 54-44- r1,1706126,,Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211: RTWD-160 54-44- r1,,,,,1669788,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211:RTWD-160 54-44- r1"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211:RTWD-160 54-44- r1"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211"",
  ""Autre.Famille et type"": ""Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211: RTWD-160 54-44- r1"",
  ""Autre.ID du type"": ""1669788"",
  ""Autre.Type"": ""RTWD-160 54-44- r1"",
  ""Contraintes.Niveau"": ""NIVEAU 1"",
  ""Contraintes.Décalage par rapport à l'hôte"": ""149.9988606204"",
  ""Contraintes.Élévation par rapport au niveau"": ""149.9988606204"",
  ""Contraintes.Hôte"": ""Niveau : NIVEAU 1"",
  ""Construction.ShowClearances"": ""False"",
  ""Cotes.Surface"": ""67.6887438631355"",
  ""Cotes.Volume"": ""44.6094341759456"",
  ""Electrique.Frequency"": ""60.0"",
  ""Electrique.Phase"": ""3.0"",
  ""Electrique.Voltage"": ""575.0"",
  ""Données d'identification.Sous-projet"": ""M_CR_NIV_01"",
  ""Données d'identification.Identifiant"": ""TP-1"",
  ""Génie climatique.Classification du système"": ""Puissance,Retour hydraulique,Alimentation hydraulique,Puissance,Retour hydraulique"",
  ""Génie climatique.Nom du système"": ""GFR 1,GFA 2,ECA 3,ECR 2"",
  ""Génie climatique - Débit.Trajectoire critique"": ""False"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
3yxWZeZ9VjcsMZWP1xkpV$,IfcBuildingElementProxy,Equipement de génie climatique : Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211 : RTWD-160 54-44- r1,,Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211:RTWD-160 54-44- r1,1706127,,Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211: RTWD-160 54-44- r1,,,,,1669788,,"{
  ""Pset_BuildingElementProxyCommon.IsExternal"": ""False"",
  ""Pset_BuildingElementProxyCommon.Reference"": ""Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211:RTWD-160 54-44- r1"",
  ""Pset_EnvironmentalImpactIndicators.Reference"": ""Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211:RTWD-160 54-44- r1"",
  ""Autre.Catégorie"": ""Equipement de génie climatique"",
  ""Autre.Famille"": ""Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211"",
  ""Autre.Famille et type"": ""Trane - RTWD Series R(TM) 70-250 Ton Water-Cooled Chiller TAG(RTWD-160 54-44- r1) 0211023211: RTWD-160 54-44- r1"",
  ""Autre.ID du type"": ""1669788"",
  ""Autre.Type"": ""RTWD-160 54-44- r1"",
  ""Contraintes.Niveau"": ""NIVEAU 1"",
  ""Contraintes.Décalage par rapport à l'hôte"": ""150.0"",
  ""Contraintes.Élévation par rapport au niveau"": ""150.0"",
  ""Contraintes.Hôte"": ""Niveau : NIVEAU 1"",
  ""Construction.ShowClearances"": ""False"",
  ""Cotes.Surface"": ""67.6887438631355"",
  ""Cotes.Volume"": ""44.6094341759456"",
  ""Electrique.Frequency"": ""60.0"",
  ""Electrique.Phase"": ""3.0"",
  ""Electrique.Voltage"": ""575.0"",
  ""Données d'identification.Sous-projet"": ""M_CR_NIV_01"",
  ""Données d'identification.Identifiant"": ""TP-2"",
  ""Génie climatique.Classification du système"": ""Puissance,Retour hydraulique,Alimentation hydraulique,Puissance,Retour hydraulique"",
  ""Génie climatique.Nom du système"": ""GFR 1,GFA 1,ECA 3,ECR 2"",
  ""Génie climatique - Débit.Trajectoire critique"": ""False"",
  ""Phase de construction.Phase de création"": ""Nouveau Projet""
}"
